Date,Price,Open,High,Low,Vol.,Change %,Index
2024-02-05,3647.1,3649.6,3655.7,3608.1,468.97M,0.58,Technology
2024-02-06,3629.6,3652.0,3656.3,3601.0,430.61M,-0.48,Technology
2024-02-07,3681.6,3653.2,3681.9,3640.8,432.16M,1.43,Technology
2024-02-08,3686.9,3685.9,3699.0,3680.3,357.89M,0.14,Technology
2024-02-09,3742.2,3704.3,3744.2,3699.2,403.44M,1.5,Technology
2024-02-12,3713.3,3743.4,3759.8,3706.7,419.20M,-0.77,Technology
2024-02-13,3655.4,3634.9,3684.4,3624.7,475.14M,-1.56,Technology
2024-02-14,3695.4,3682.8,3696.8,3653.3,420.37M,1.1,Technology
2024-02-15,3679.3,3699.1,3699.1,3661.3,427.55M,-0.44,Technology
2024-02-16,3650.2,3694.4,3702.3,3645.3,398.15M,-0.79,Technology
2024-02-20,3604.0,3627.9,3638.9,3565.9,481.68M,-1.27,Technology
2024-02-21,3576.4,3563.9,3576.8,3539.6,452.88M,-0.76,Technology
2024-02-22,3732.0,3700.5,3736.7,3685.5,562.98M,4.35,Technology
2024-02-23,3722.0,3763.4,3776.6,3708.5,406.04M,-0.27,Technology
2024-02-26,3723.2,3739.0,3751.3,3718.8,383.81M,0.03,Technology
2024-02-27,3725.6,3730.3,3732.6,3698.8,352.12M,0.06,Technology
2024-02-28,3705.1,3709.0,3718.1,3691.8,328.48M,-0.55,Technology
2024-02-29,3748.6,3727.7,3756.6,3704.4,667.97M,1.17,Technology
2024-03-01,3815.3,3757.0,3819.0,3757.0,550.36M,1.78,Technology
2024-03-04,3823.1,3812.5,3851.7,3806.3,552.32M,0.21,Technology
2024-03-05,3739.6,3783.7,3790.5,3714.4,537.49M,-2.19,Technology
2024-03-06,3773.6,3782.3,3802.6,3746.8,553.95M,0.91,Technology
2024-03-07,3845.0,3810.1,3852.9,3790.2,511.91M,1.89,Technology
2024-03-08,3774.2,3858.6,3896.4,3770.7,604.93M,-1.84,Technology
2024-03-11,3760.0,3755.0,3779.4,3733.3,451.11M,-0.38,Technology
2024-03-12,3855.5,3803.1,3856.1,3762.1,501.40M,2.54,Technology
2024-03-13,3813.9,3843.1,3843.1,3792.6,453.81M,-1.08,Technology
2024-03-14,3809.5,3825.8,3843.6,3786.9,491.40M,-0.11,Technology
2024-03-15,3760.3,3763.8,3782.3,3745.0,857.05M,-1.29,Technology
