"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2020","2,082.0","2,072.8","2,089.8","2,072.8","389.14M","0.45%"
"10/07/2020","2,072.8","2,034.2","2,075.5","2,034.2","381.10M","1.89%"
"10/06/2020","2,034.2","2,067.2","2,080.9","2,027.8","497.65M","-1.59%"
"10/05/2020","2,067.2","2,021.4","2,067.5","2,021.4","404.12M","2.27%"
"10/02/2020","2,021.4","2,074.3","2,074.3","2,014.3","460.18M","-2.55%"
"10/01/2020","2,074.3","2,054.6","2,084.4","2,054.6","438.38M","0.96%"
"09/30/2020","2,054.6","2,036.1","2,074.3","2,034.7","553.29M","0.91%"
"09/29/2020","2,036.1","2,042.3","2,049.1","2,032.4","408.63M","-0.30%"
"09/28/2020","2,042.3","2,005.2","2,043.2","2,005.2","473.57M","1.85%"
"09/25/2020","2,005.2","1,958.2","2,010.7","1,947.2","463.72M","2.40%"
"09/24/2020","1,958.2","1,946.1","1,982.2","1,926.3","513.31M","0.62%"
"09/23/2020","1,946.1","2,010.7","2,012.8","1,941.0","497.28M","-3.21%"
"09/22/2020","2,010.7","1,978.1","2,014.8","1,967.1","499.70M","1.65%"
"09/21/2020","1,978.1","1,963.3","1,978.5","1,920.3","621.62M","0.76%"
"09/18/2020","1,963.3","1,996.4","2,003.8","1,938.8","870.57M","-1.66%"
"09/17/2020","1,996.4","2,013.4","2,013.4","1,965.8","555.73M","-0.84%"
"09/16/2020","2,013.4","2,045.3","2,056.3","2,012.6","496.95M","-1.56%"
"09/15/2020","2,045.3","2,025.1","2,059.6","2,025.1","524.34M","1.00%"
"09/14/2020","2,025.1","1,984.0","2,036.1","1,984.0","541.22M","2.07%"
"09/11/2020","1,984.0","1,999.0","2,024.7","1,958.8","585.37M","-0.75%"
"09/10/2020","1,999.0","2,045.5","2,075.5","1,987.2","546.68M","-2.28%"
"09/09/2020","2,045.5","1,979.3","2,065.4","1,979.3","576.67M","3.35%"
"09/08/2020","1,979.3","2,074.5","2,074.5","1,977.1","701.77M","-4.59%"
"09/04/2020","2,074.5","2,102.8","2,122.1","1,986.2","862.76M","-1.34%"
"09/03/2020","2,102.8","2,232.9","2,232.9","2,086.8","788.66M","-5.83%"
"09/02/2020","2,232.9","2,212.5","2,239.9","2,192.4","629.37M","0.92%"
"09/01/2020","2,212.5","2,172.2","2,214.3","2,172.2","493.62M","1.86%"
"08/31/2020","2,172.2","2,164.4","2,184.5","2,158.6","662.71M","0.36%"
"08/28/2020","2,164.4","2,143.8","2,170.3","2,143.8","382.63M","0.96%"
"08/27/2020","2,143.8","2,143.2","2,161.6","2,125.6","409.81M","0.03%"
"08/26/2020","2,143.2","2,100.2","2,148.7","2,100.2","441.28M","2.05%"
"08/25/2020","2,100.2","2,089.3","2,101.0","2,082.2","375.10M","0.52%"
"08/24/2020","2,089.3","2,071.2","2,102.4","2,071.2","392.53M","0.87%"
"08/21/2020","2,071.2","2,046.4","2,074.0","2,046.4","461.53M","1.21%"
"08/20/2020","2,046.4","2,017.4","2,049.8","2,009.5","376.08M","1.44%"
"08/19/2020","2,017.4","2,022.9","2,035.5","2,015.5","350.94M","-0.27%"
"08/18/2020","2,022.9","2,015.0","2,027.9","2,005.6","324.12M","0.39%"
"08/17/2020","2,015.0","2,001.5","2,019.4","2,001.5","318.94M","0.67%"
"08/14/2020","2,001.5","2,003.5","2,006.9","1,990.5","326.77M","-0.10%"
"08/13/2020","2,003.5","2,002.6","2,019.6","1,995.9","474.54M","0.04%"
"08/12/2020","2,002.6","1,957.3","2,006.9","1,957.3","413.70M","2.31%"
"08/11/2020","1,957.3","1,992.9","1,995.4","1,953.7","447.41M","-1.78%"
"08/10/2020","1,992.9","1,999.4","2,006.4","1,967.0","429.40M","-0.33%"
"08/07/2020","1,999.4","2,031.2","2,031.2","1,983.8","410.32M","-1.56%"
"08/06/2020","2,031.2","2,002.0","2,032.6","1,996.6","416.69M","1.46%"
"08/05/2020","2,002.0","1,995.1","2,007.3","1,993.1","371.12M","0.35%"
"08/04/2020","1,995.1","1,990.7","1,995.3","1,978.0","495.60M","0.22%"
"08/03/2020","1,990.7","1,942.4","1,996.3","1,942.4","481.54M","2.49%"
"07/31/2020","1,942.4","1,894.9","1,942.8","1,894.0","552.04M","2.50%"
"07/30/2020","1,894.9","1,884.9","1,896.1","1,857.8","452.20M","0.53%"
"07/29/2020","1,884.9","1,857.1","1,889.7","1,857.1","477.71M","1.50%"
